第 5 次循环
Episode 0 : -333864.06
Episode 1 : -350390.03
Episode 2 : -254917.10
Episode 3 : -234981.60
Episode 4 : -28975.45
Episode 5 : -205506.24
Episode 6 : -200382.81
Episode 7 : -195257.26
Episode 8 : -175078.10
Episode 9 : -187211.51
Episode 10 : -185938.72
Episode 11 : -178570.02
Episode 12 : -167857.26
Episode 13 : -176004.52
Episode 14 : -91935.59
Episode 15 : -160331.23
Episode 16 : -158897.89
Episode 17 : -152347.92
Episode 18 : -144994.82
Episode 19 : -148128.73
Episode 20 : -168318.67
Episode 21 : -138969.01
Episode 22 : -152522.80
Episode 23 : -133205.84
Episode 24 : -137340.73
Episode 25 : -122705.49
Episode 26 : -129933.57
Episode 27 : -115490.46
Episode 28 : -135111.92
Episode 29 : -123183.67
Episode 30 : -124972.36
Episode 31 : -124279.87
Episode 32 : -107549.62
Episode 33 : -106083.06
Episode 34 : -109544.86
Episode 35 : -103647.06
Episode 36 : -126114.64
Episode 37 : -124077.46
Episode 38 : -105640.51
Episode 39 : -92983.57
Episode 40 : -104947.95
Episode 41 : -103359.84
Episode 42 : -101481.46
Episode 43 : -85738.04
Episode 44 : -106959.06
Episode 45 : -91100.73
Episode 46 : -81943.59
Episode 47 : -85221.49
Episode 48 : -98424.25
Episode 49 : -94313.43
Episode 50 : -80737.73
Episode 51 : -91220.82
Episode 52 : -84952.80
Episode 53 : -85422.17
Episode 54 : -76075.59
Episode 55 : -83881.03
Episode 56 : -77185.49
Episode 57 : -74887.98
Episode 58 : -78669.21
Episode 59 : -72373.25
Episode 60 : -72872.35
Episode 61 : -80070.72
Episode 62 : -70453.42
Episode 63 : -58384.26
Episode 64 : -72777.17
Episode 65 : -75213.82
Episode 66 : -64255.84
Episode 67 : -63372.92
Episode 68 : -66861.80
Episode 69 : -72522.56
Episode 70 : -67107.46
Episode 71 : -60125.43
Episode 72 : -50580.06
Episode 73 : -61634.68
Episode 74 : -61216.60
Episode 75 : -60185.96
Episode 76 : -70822.19
Episode 77 : -63697.34
Episode 78 : -57137.20
Episode 79 : -58174.17
Episode 80 : -51093.03
Episode 81 : -61255.22
Episode 82 : -55506.43
Episode 83 : -56355.67
Episode 84 : -56949.79
Episode 85 : -53258.19
Episode 86 : -45372.77
Episode 87 : -49406.49
Episode 88 : -50086.90
Episode 89 : -60196.48
Episode 90 : -53257.81
Episode 91 : -68756.46
Episode 92 : -49971.32
Episode 93 : -47094.90
Episode 94 : -65792.94
Episode 95 : -52300.74
Episode 96 : -49749.04
Episode 97 : -49391.74
Episode 98 : -42561.16
Episode 99 : -42814.98
Episode 100 : -48701.06
Episode 101 : -53813.38
Episode 102 : -44369.98
Episode 103 : -41964.96
Episode 104 : -44823.30
Episode 105 : -43368.30
Episode 106 : -42175.79
Episode 107 : -44584.92
Episode 108 : -41519.26
Episode 109 : -42872.66
Episode 110 : -42295.79
Episode 111 : -37842.47
Episode 112 : -12550.63
Episode 113 : -38304.75
Episode 114 : -54195.16
Episode 115 : -38716.88
Episode 116 : -45214.18
Episode 117 : -45242.65
Episode 118 : -32811.53
Episode 119 : -40704.65
Episode 120 : -51407.17
Episode 121 : -36678.62
Episode 122 : -42355.87
Episode 123 : -34367.38
Episode 124 : -61323.54
Episode 125 : -44589.95
Episode 126 : -43523.82
Episode 127 : -38316.52
Episode 128 : -37015.85
Episode 129 : -42067.93
Episode 130 : -49261.35
Episode 131 : -61485.64
Episode 132 : -44351.99
Episode 133 : -34240.82
