第 6 次循环
Episode 0 : -271327.96
Episode 1 : -244509.24
Episode 2 : -2769926.83
Episode 3 : -87925.53
Episode 4 : -68179.22
Episode 5 : -81012.08
Episode 6 : -74328.42
Episode 7 : -62269.02
Episode 8 : -84419.09
Episode 9 : -56105.34
Episode 10 : -55737.44
Episode 11 : -56751.76
Episode 12 : -55372.02
Episode 13 : -60352.76
Episode 14 : -63027.61
Episode 15 : -82833.43
Episode 16 : -54791.12
Episode 17 : -22972.95
Episode 18 : -49486.14
Episode 19 : -50733.20
Episode 20 : -41898.09
Episode 21 : -24555.20
Episode 22 : -42851.34
Episode 23 : -42167.46
Episode 24 : -46923.82
Episode 25 : -40033.05
Episode 26 : -39945.13
Episode 27 : -35756.88
Episode 28 : -41717.07
Episode 29 : -36792.72
Episode 30 : -38178.35
Episode 31 : -36222.23
Episode 32 : -41400.24
Episode 33 : -38948.02
Episode 34 : -37478.43
Episode 35 : -53325.94
Episode 36 : -44406.71
Episode 37 : -42190.47
Episode 38 : -37794.39
Episode 39 : -44289.65
Episode 40 : -37845.59
Episode 41 : -46174.06
Episode 42 : -38667.23
Episode 43 : -35758.32
Episode 44 : -36190.94
Episode 45 : -33998.75
Episode 46 : -52985.80
Episode 47 : -35078.91
Episode 48 : -35658.65
Episode 49 : -37269.86
Episode 50 : -37816.74
Episode 51 : -40096.25
Episode 52 : -39512.76
Episode 53 : -32154.25
Episode 54 : -32644.38
Episode 55 : -34405.81
Episode 56 : -34953.00
Episode 57 : -13198.60
Episode 58 : -34665.25
Episode 59 : -29555.65
Episode 60 : -32459.76
Episode 61 : -33149.54
Episode 62 : -37500.65
Episode 63 : -35951.66
Episode 64 : -53198.27
Episode 65 : -37601.58
Episode 66 : -37686.85
Episode 67 : -40377.64
Episode 68 : -35005.47
Episode 69 : -29174.32
Episode 70 : -36765.66
Episode 71 : -13070.87
Episode 72 : -34385.95
Episode 73 : -35562.08
Episode 74 : -30681.07
Episode 75 : -34199.75
Episode 76 : -28912.09
Episode 77 : -37344.75
Episode 78 : -33166.78
Episode 79 : -32439.74
Episode 80 : -30721.85
Episode 81 : -32654.81
Episode 82 : -33181.57
Episode 83 : -38030.99
Episode 84 : -36559.16
Episode 85 : -33362.55
Episode 86 : -29624.09
Episode 87 : -32356.63
Episode 88 : -30392.19
Episode 89 : -32119.54
Episode 90 : -30373.61
Episode 91 : -33972.29
Episode 92 : -29647.78
Episode 93 : -27929.10
Episode 94 : -37272.75
Episode 95 : -1399.48
Episode 96 : -33519.66
Episode 97 : -25882.66
Episode 98 : -28679.14
Episode 99 : -32486.10
Episode 100 : -34904.31
Episode 101 : -14423.64
Episode 102 : -26503.06
Episode 103 : -34856.91
Episode 104 : -30997.75
Episode 105 : -34876.83
Episode 106 : -30769.67
Episode 107 : -27962.07
Episode 108 : -35634.95
Episode 109 : -32839.98
Episode 110 : -29100.58
Episode 111 : -33246.50
Episode 112 : -35124.35
Episode 113 : -22168.13
Episode 114 : -29562.10
Episode 115 : -35250.25
Episode 116 : -54158.30
Episode 117 : -21099.78
Episode 118 : -39369.89
Episode 119 : -33448.51
Episode 120 : -28601.25
Episode 121 : -37828.63
Episode 122 : -48657.67
Episode 123 : -30007.43
Episode 124 : -31892.94
Episode 125 : -32823.66
Episode 126 : -26313.30
Episode 127 : -32200.45
Episode 128 : -31907.33
Episode 129 : -33009.11
Episode 130 : -10136.26
Episode 131 : -47387.04
Episode 132 : -32576.95
Episode 133 : -28217.84
Episode 134 : -27512.76
Episode 135 : -30877.63
Episode 136 : -33114.62
Episode 137 : -23438.55
Episode 138 : -34886.96
