第 0 次循环
Episode 0 : -328079.31
Episode 1 : -344655.90
Episode 2 : -278555.42
Episode 3 : -235827.20
Episode 4 : -217940.07
Episode 5 : -209765.99
Episode 6 : -199176.11
Episode 7 : -188895.48
Episode 8 : -24652.77
Episode 9 : -183464.89
Episode 10 : -162450.94
Episode 11 : -171579.19
Episode 12 : -174982.39
Episode 13 : -16564.18
Episode 14 : -182335.81
Episode 15 : -185525.43
Episode 16 : -174274.03
Episode 17 : -151997.35
Episode 18 : -148345.23
Episode 19 : -151814.82
Episode 20 : -138352.29
Episode 21 : -146279.15
Episode 22 : -144619.47
Episode 23 : -134585.61
Episode 24 : -135918.47
Episode 25 : -120411.59
Episode 26 : -17267.77
Episode 27 : -130816.96
Episode 28 : -129770.34
Episode 29 : -123084.32
Episode 30 : -127890.92
Episode 31 : -137678.26
Episode 32 : -111589.18
Episode 33 : -110675.37
Episode 34 : -110954.25
Episode 35 : -65043.10
Episode 36 : -20499.69
Episode 37 : -109433.25
Episode 38 : -105888.37
Episode 39 : -118321.14
Episode 40 : -110923.99
Episode 41 : -99770.61
Episode 42 : -102740.51
Episode 43 : -88132.82
Episode 44 : -102017.34
Episode 45 : -101396.62
Episode 46 : -86953.48
Episode 47 : -95965.19
Episode 48 : -98903.62
Episode 49 : -93114.69
Episode 50 : -93344.17
Episode 51 : -91104.93
Episode 52 : -83636.27
Episode 53 : -72676.08
Episode 54 : -81565.90
Episode 55 : -81429.86
Episode 56 : -94209.27
Episode 57 : -88808.15
Episode 58 : -78964.84
Episode 59 : -74409.92
Episode 60 : -78252.29
Episode 61 : -76492.79
Episode 62 : -76816.04
Episode 63 : -73164.82
Episode 64 : -69945.06
Episode 65 : -73430.00
Episode 66 : -66488.72
Episode 67 : -73209.10
Episode 68 : -59153.62
Episode 69 : -40436.18
Episode 70 : -58547.54
Episode 71 : -64140.35
Episode 72 : -57884.38
Episode 73 : -62437.26
Episode 74 : -59057.17
Episode 75 : -63649.86
Episode 76 : -64929.54
Episode 77 : -41674.97
Episode 78 : -58726.03
Episode 79 : -71078.17
Episode 80 : -65791.25
Episode 81 : -53346.10
Episode 82 : -9614.72
Episode 83 : -58379.07
Episode 84 : -52230.74
Episode 85 : -56562.97
Episode 86 : -66838.36
Episode 87 : -18214.10
Episode 88 : -56000.41
Episode 89 : -60222.16
Episode 90 : -46521.54
Episode 91 : -51689.39
Episode 92 : -49861.45
Episode 93 : -65900.26
Episode 94 : -53452.64
Episode 95 : -56270.61
Episode 96 : -58865.63
Episode 97 : -49185.19
Episode 98 : -50040.61
Episode 99 : -48597.10
Episode 100 : -46076.95
Episode 101 : -24747.68
Episode 102 : -45010.03
Episode 103 : -43888.20
Episode 104 : -46219.08
Episode 105 : -47487.33
Episode 106 : -45455.05
Episode 107 : -60605.69
Episode 108 : -45080.81
Episode 109 : -45234.63
Episode 110 : -47032.59
Episode 111 : -49818.56
Episode 112 : -43623.62
Episode 113 : -40852.51
Episode 114 : -38654.24
Episode 115 : -39995.56
Episode 116 : -44707.21
Episode 117 : -69672.83
Episode 118 : -43215.60
Episode 119 : -42884.75
Episode 120 : -37088.19
Episode 121 : -47356.29
Episode 122 : -39996.72
Episode 123 : -44492.02
Episode 124 : -38158.26
Episode 125 : -41011.43
Episode 126 : -37660.35
Episode 127 : -41532.59
Episode 128 : -29369.19
Episode 129 : -11353.51
Episode 130 : -35844.65
Episode 131 : -34455.01
Episode 132 : -36886.59
Episode 133 : -64103.94
Episode 134 : -45218.76
Episode 135 : -36330.97
Episode 136 : -38887.37
Episode 137 : -35650.42
Episode 138 : -34096.37
Episode 139 : -35725.81
Episode 140 : -30312.81
Episode 141 : -53720.89
Episode 142 : -39948.36
Episode 143 : -31950.15
Episode 144 : -39545.89
Episode 145 : -34604.92
Episode 146 : -49754.34
Episode 147 : -34486.69
Episode 148 : -37997.27
Episode 149 : -39439.66
Episode 150 : -39691.63
Episode 151 : -42995.08
Episode 152 : -40573.92
Episode 153 : -38135.17
Episode 154 : -39746.83
Episode 155 : -15959.01
Episode 156 : -33925.75
Episode 157 : -37091.20
Episode 158 : -35387.54
Episode 159 : -44984.59
Episode 160 : -41032.09
Episode 161 : -35342.47
Episode 162 : -33884.32
Episode 163 : -37892.54
Episode 164 : -28986.00
Episode 165 : -36952.56
Episode 166 : -9264.59
Episode 167 : -29125.48
Episode 168 : -5749.22
Episode 169 : -36426.76
Episode 170 : -33583.33
Episode 171 : -36526.51
Episode 172 : -34933.53
Episode 173 : -31378.14
Episode 174 : -42507.48
Episode 175 : -31859.81
Episode 176 : -30125.10
Episode 177 : -35449.51
Episode 178 : -29884.18
Episode 179 : -30278.33
Episode 180 : -35006.03
Episode 181 : -35891.80
Episode 182 : -30351.74
Episode 183 : -36547.61
Episode 184 : -39862.66
Episode 185 : -34071.80
Episode 186 : -35723.86
Episode 187 : -44948.64
Episode 188 : -31950.51
Episode 189 : -38617.68
Episode 190 : -30350.38
Episode 191 : -56261.94
Episode 192 : -51745.33
Episode 193 : -34145.84
Episode 194 : -29699.42
Episode 195 : -35105.61
Episode 196 : -35078.39
Episode 197 : -48500.64
Episode 198 : -55963.07
Episode 199 : -38391.38

第一阶段时间为：0.01877250000006825
200回合，每个回合1000步的情况下
第二阶段时间为：783.8861554999999
总时间为：783.9049280000004

训练集各项指标：
评价指标MAE的值为：73.71421405362402
评价指标RMSE的值为：157.16491232918676
评价指标CV的值为：0.38487506943639893
评价指标R^2的值：1.0374849095782963
====================================================================
测试集各项指标：
评价指标MAE的值为：40.0767008196721
评价指标RMSE的值为：64.84894579479855
评价指标CV的值为：0.17582973017920486
评价指标R^2的值：1.0679255388733468
