第 9 次循环
Episode 0 : -321502.61
Episode 1 : -157551.76
Episode 2 : -301968.56
Episode 3 : -222909.91
Episode 4 : -208352.33
Episode 5 : -198456.33
Episode 6 : -221803.73
Episode 7 : -213705.15
Episode 8 : -188928.69
Episode 9 : -173720.48
Episode 10 : -167542.29
Episode 11 : -191681.34
Episode 12 : -184612.14
Episode 13 : -163795.33
Episode 14 : -174514.63
Episode 15 : -153874.17
Episode 16 : -153433.48
Episode 17 : -149726.74
Episode 18 : -151016.36
Episode 19 : -146228.96
Episode 20 : -141437.43
Episode 21 : -137291.39
Episode 22 : -143177.02
Episode 23 : -136134.07
Episode 24 : -127170.22
Episode 25 : -133699.69
Episode 26 : -127470.31
Episode 27 : -122095.75
Episode 28 : -109199.26
Episode 29 : -132005.96
Episode 30 : -117974.95
Episode 31 : -134038.97
Episode 32 : -70812.37
Episode 33 : -119761.88
Episode 34 : -113535.93
Episode 35 : -100969.69
Episode 36 : -106109.12
Episode 37 : -101449.47
Episode 38 : -91021.22
Episode 39 : -109166.75
Episode 40 : -100725.12
Episode 41 : -86121.49
Episode 42 : -95215.72
Episode 43 : -92411.20
Episode 44 : -98341.45
Episode 45 : -82824.54
Episode 46 : -17289.59
Episode 47 : -86075.94
Episode 48 : -90036.85
Episode 49 : -86881.98
Episode 50 : -89906.55
Episode 51 : -84096.39
Episode 52 : -94330.20
Episode 53 : -90460.21
Episode 54 : -88019.14
Episode 55 : -77955.95
Episode 56 : -74533.89
Episode 57 : -75811.28
Episode 58 : -80876.74
Episode 59 : -83602.80
Episode 60 : -89521.97
Episode 61 : -48767.65
Episode 62 : -72885.60
Episode 63 : -65695.00
Episode 64 : -70373.05
Episode 65 : -57598.68
Episode 66 : -69997.42
Episode 67 : -71060.03
Episode 68 : -67113.38
Episode 69 : -27037.08
Episode 70 : -27234.41
Episode 71 : -59131.90
Episode 72 : -58522.83
Episode 73 : -77036.33
Episode 74 : -69272.31
Episode 75 : -72283.74
Episode 76 : -62509.95
