第 2 次循环
Episode 0 : -357996.69
Episode 1 : -381239.91
Episode 2 : -265163.65
Episode 3 : -230020.76
Episode 4 : -206111.65
Episode 5 : -225417.92
Episode 6 : -207368.61
Episode 7 : -191376.78
Episode 8 : -180530.40
Episode 9 : -170836.16
Episode 10 : -157176.43
Episode 11 : -160936.99
Episode 12 : -171096.30
Episode 13 : -161185.18
Episode 14 : -163960.03
Episode 15 : -154205.44
Episode 16 : -151944.78
Episode 17 : -154857.39
Episode 18 : -148361.57
Episode 19 : -150733.84
Episode 20 : -139440.57
Episode 21 : -135627.88
Episode 22 : -126820.82
Episode 23 : -141025.20
Episode 24 : -142979.67
Episode 25 : -136292.72
Episode 26 : -127470.72
Episode 27 : -125870.16
Episode 28 : -127909.74
Episode 29 : -117448.96
Episode 30 : -107930.88
Episode 31 : -122496.02
Episode 32 : -119923.75
Episode 33 : -106046.78
Episode 34 : -113853.91
Episode 35 : -101751.58
Episode 36 : -99657.71
Episode 37 : -101161.38
Episode 38 : -101716.33
Episode 39 : -102564.47
Episode 40 : -95436.32
Episode 41 : -90191.32
Episode 42 : -93482.84
Episode 43 : -86251.97
Episode 44 : -84625.86
Episode 45 : -103515.80
Episode 46 : -68966.46
Episode 47 : -82989.21
Episode 48 : -90414.66
Episode 49 : -75812.61
Episode 50 : -80133.55
Episode 51 : -82871.10
Episode 52 : -76022.19
Episode 53 : -76100.52
Episode 54 : -87296.70
Episode 55 : -97897.87
Episode 56 : -76416.21
Episode 57 : -75997.93
Episode 58 : -66901.07
Episode 59 : -74278.14
Episode 60 : -66317.93
Episode 61 : -70392.04
Episode 62 : -80590.62
Episode 63 : -63961.76
Episode 64 : -70430.85
Episode 65 : -73702.85
Episode 66 : -67995.08
Episode 67 : -59436.59
Episode 68 : -61480.88
Episode 69 : -707.00
Episode 70 : -61065.49
Episode 71 : -70888.01
Episode 72 : -64865.78
Episode 73 : -62282.88
Episode 74 : -78669.20
Episode 75 : -58673.42
Episode 76 : -59118.50
Episode 77 : -55873.14
Episode 78 : -57063.98
Episode 79 : -51986.20
Episode 80 : -51567.12
Episode 81 : -51028.90
Episode 82 : -64836.23
Episode 83 : -41834.23
Episode 84 : -52142.08
Episode 85 : -58100.55
Episode 86 : -46105.60
Episode 87 : -52096.49
Episode 88 : -44134.58
Episode 89 : -50700.37
Episode 90 : -41700.14
Episode 91 : -48362.74
Episode 92 : -43532.55
Episode 93 : -45084.90
Episode 94 : -50331.71
Episode 95 : -41549.69
Episode 96 : -52291.75
Episode 97 : -63847.18
Episode 98 : -50401.24
Episode 99 : -47632.78
Episode 100 : -35917.75
Episode 101 : -53484.98
Episode 102 : -43528.40
Episode 103 : -50460.90
Episode 104 : -45587.13
Episode 105 : -46242.75
Episode 106 : -44300.72
Episode 107 : -40827.89
Episode 108 : -54713.56
Episode 109 : -44686.82
Episode 110 : -45467.09
Episode 111 : -38382.83
Episode 112 : -32237.76
Episode 113 : -43020.89
Episode 114 : -45036.19
Episode 115 : -50769.18
Episode 116 : -43851.93
Episode 117 : -44045.40
Episode 118 : -44479.85
Episode 119 : -39752.67
Episode 120 : -40088.45
Episode 121 : -50630.43
Episode 122 : -48047.07
Episode 123 : -42174.52
Episode 124 : -61978.49
Episode 125 : -40509.25
Episode 126 : -37799.76
Episode 127 : -37610.47
Episode 128 : -42537.55
Episode 129 : -37574.69
Episode 130 : -42184.20
Episode 131 : -35743.68
Episode 132 : -51173.29
Episode 133 : -41717.41
Episode 134 : -41928.10
Episode 135 : -42144.60
Episode 136 : -35221.20
Episode 137 : -34728.35
Episode 138 : -30802.03
Episode 139 : -34879.82
Episode 140 : -35364.48
Episode 141 : -35729.30
Episode 142 : -31087.19
Episode 143 : -34533.40
Episode 144 : -37161.95
Episode 145 : -35336.29
Episode 146 : -30242.14
Episode 147 : -33227.45
Episode 148 : -29716.75
Episode 149 : -29582.18
Episode 150 : -36501.51
Episode 151 : -30152.11
Episode 152 : -35325.81
Episode 153 : -35796.60
Episode 154 : -32220.56
Episode 155 : -37000.97
Episode 156 : -29679.43
Episode 157 : -27778.36
Episode 158 : -57110.66
Episode 159 : -36839.81
Episode 160 : -41474.00
Episode 161 : -35228.66
Episode 162 : -51811.44
Episode 163 : -40086.72
Episode 164 : -29813.88
Episode 165 : -34345.80
Episode 166 : -32672.46
Episode 167 : -35948.56
Episode 168 : -30271.83
Episode 169 : -56237.55
Episode 170 : -34154.88
Episode 171 : -30794.66
Episode 172 : -28493.17
Episode 173 : -33255.13
Episode 174 : -30420.20
Episode 175 : -30443.99
Episode 176 : -44101.17
Episode 177 : -53384.93
Episode 178 : -40250.15
Episode 179 : -34046.96
Episode 180 : -22042.35
Episode 181 : -33399.48
Episode 182 : -1695.24
Episode 183 : -31455.74
Episode 184 : -27001.92
Episode 185 : -29376.98
Episode 186 : -35470.72
Episode 187 : -44466.23
Episode 188 : -31886.45
Episode 189 : -35162.77
Episode 190 : -1577.88
Episode 191 : -29447.05
Episode 192 : -40781.78
Episode 193 : -44726.65
Episode 194 : -43394.63
Episode 195 : -36424.65
Episode 196 : -34519.53
Episode 197 : -35714.89
Episode 198 : -29737.15
Episode 199 : -32919.90

第一阶段时间为：0.01036189999990711
200回合，每个回合1000步的情况下
第二阶段时间为：858.164288
总时间为：858.1746499

训练集各项指标：
评价指标MAE的值为：71.58596143762404
评价指标RMSE的值为：155.8898005955664
评价指标CV的值为：0.3836682533579645
评价指标R^2的值：1.041395221135775
====================================================================
测试集各项指标：
评价指标MAE的值为：57.65122267759567
评价指标RMSE的值为：122.83825727770888
评价指标CV的值为：0.3330604278621241
评价指标R^2的值：0.9457999456787058
