第 4 次循环
Episode 0 : -313907.59
Episode 1 : -324077.29
Episode 2 : -495531.47
Episode 3 : -80587.58
Episode 4 : -63258.20
Episode 5 : -65036.87
Episode 6 : -57509.45
Episode 7 : -57383.09
Episode 8 : -55251.27
Episode 9 : -52575.31
Episode 10 : -50868.19
Episode 11 : -44900.28
Episode 12 : -45026.79
Episode 13 : -43955.37
Episode 14 : -44347.57
Episode 15 : -42699.23
Episode 16 : -44374.27
Episode 17 : -42844.10
Episode 18 : -42941.19
Episode 19 : -34955.64
Episode 20 : -42989.23
Episode 21 : -37356.31
Episode 22 : -41815.24
Episode 23 : -37350.91
Episode 24 : -39948.52
Episode 25 : -7645.47
Episode 26 : -51560.91
Episode 27 : -41781.36
Episode 28 : -38103.25
Episode 29 : -34902.61
Episode 30 : -37092.88
Episode 31 : -37730.86
Episode 32 : -31342.60
Episode 33 : -34813.49
Episode 34 : -30943.39
Episode 35 : -31013.98
Episode 36 : -34215.17
Episode 37 : -18438.02
Episode 38 : -31823.91
Episode 39 : -31925.30
Episode 40 : -33278.97
Episode 41 : -31873.65
Episode 42 : -33445.95
Episode 43 : -29727.20
Episode 44 : -33827.28
Episode 45 : -29608.15
Episode 46 : -34744.97
Episode 47 : -32601.94
Episode 48 : -20216.40
Episode 49 : -50907.71
Episode 50 : -31673.84
Episode 51 : -29970.28
Episode 52 : -27624.21
Episode 53 : -34071.90
Episode 54 : -32021.46
Episode 55 : -32361.76
Episode 56 : -28224.23
Episode 57 : -28798.15
Episode 58 : -28610.44
Episode 59 : -31919.22
Episode 60 : -27980.15
Episode 61 : -28854.75
Episode 62 : -24783.40
Episode 63 : -30563.87
Episode 64 : -25892.74
Episode 65 : -25503.71
Episode 66 : -27396.06
Episode 67 : -29431.42
Episode 68 : -28509.64
Episode 69 : -29848.87
Episode 70 : -9563.24
Episode 71 : -26228.60
Episode 72 : -29748.96
Episode 73 : -29601.20
Episode 74 : -23889.19
Episode 75 : -26389.10
Episode 76 : -15639.24
Episode 77 : -28023.62
Episode 78 : -40385.96
Episode 79 : -27664.13
Episode 80 : -27807.08
Episode 81 : -30966.97
Episode 82 : -24685.12
Episode 83 : -24349.88
Episode 84 : -19256.34
Episode 85 : -29274.06
Episode 86 : -30890.10
Episode 87 : -31044.17
Episode 88 : -26402.21
Episode 89 : -28732.85
Episode 90 : -28916.82
Episode 91 : -25909.43
Episode 92 : -25032.65
Episode 93 : -23550.79
Episode 94 : -23075.81
Episode 95 : -25131.56
Episode 96 : -27153.49
Episode 97 : -23481.05
Episode 98 : -25705.06
Episode 99 : -23496.39
Episode 100 : -25426.06
Episode 101 : -24116.35
Episode 102 : -4034.11
Episode 103 : -22401.45
Episode 104 : -23382.48
Episode 105 : -20707.43
Episode 106 : -26590.43
Episode 107 : -24838.11
Episode 108 : -4373.24
Episode 109 : -22905.86
Episode 110 : -25859.00
Episode 111 : -20869.09
Episode 112 : -20727.24
Episode 113 : -28766.60
Episode 114 : -24553.91
Episode 115 : -10252.30
Episode 116 : -22133.94
Episode 117 : -28283.90
Episode 118 : -24990.23
Episode 119 : -22903.86
Episode 120 : -23165.72
Episode 121 : -30669.59
