第 5 次循环
Episode 0 : -388944.59
Episode 1 : -387435.83
Episode 2 : -200040.34
Episode 3 : -97213.19
Episode 4 : -94781.62
Episode 5 : -79081.23
Episode 6 : -93923.92
Episode 7 : -80036.06
Episode 8 : -71120.29
Episode 9 : -62023.97
Episode 10 : -50415.97
Episode 11 : -55795.30
Episode 12 : -45060.07
Episode 13 : -48619.82
Episode 14 : -42386.70
Episode 15 : -47704.65
Episode 16 : -44292.20
Episode 17 : -65157.80
Episode 18 : -42857.76
Episode 19 : -47041.34
Episode 20 : -64245.51
Episode 21 : -5121.07
Episode 22 : -42462.44
Episode 23 : -44021.71
Episode 24 : -16458.80
Episode 25 : -47350.32
Episode 26 : -43439.41
Episode 27 : -35441.00
Episode 28 : -37176.75
Episode 29 : -41454.00
Episode 30 : -42147.35
Episode 31 : -40772.07
Episode 32 : -49179.95
Episode 33 : -40615.31
Episode 34 : -38416.04
Episode 35 : -36066.49
Episode 36 : -40927.31
Episode 37 : -40805.16
Episode 38 : -32943.33
Episode 39 : -29865.29
Episode 40 : -33675.39
Episode 41 : -33163.21
Episode 42 : -37707.04
Episode 43 : -13503.07
Episode 44 : -31297.16
Episode 45 : -33977.71
Episode 46 : -30374.26
Episode 47 : -29004.59
Episode 48 : -30360.69
Episode 49 : -34170.72
Episode 50 : -29457.55
Episode 51 : -28703.49
Episode 52 : -25861.97
Episode 53 : -50199.95
Episode 54 : -12636.01
Episode 55 : -27053.24
Episode 56 : -44665.85
Episode 57 : -27482.93
Episode 58 : -46962.92
Episode 59 : -29329.31
Episode 60 : -28771.52
Episode 61 : -30203.02
Episode 62 : -31224.67
Episode 63 : -28728.58
Episode 64 : -25276.63
Episode 65 : -27487.93
Episode 66 : -27426.47
Episode 67 : -26576.90
Episode 68 : -28212.63
Episode 69 : -26957.13
Episode 70 : -23838.31
Episode 71 : -23476.23
Episode 72 : -26365.13
Episode 73 : -30192.04
Episode 74 : -28785.97
Episode 75 : -25267.06
Episode 76 : -25542.20
Episode 77 : -26130.51
Episode 78 : -25804.51
Episode 79 : -15394.57
Episode 80 : -22788.86
Episode 81 : -41305.79
Episode 82 : -25362.96
Episode 83 : -27072.90
Episode 84 : -29728.02
Episode 85 : -29722.08
Episode 86 : -28025.60
Episode 87 : -28347.36
Episode 88 : -29983.90
Episode 89 : -33546.00
Episode 90 : -33810.75
Episode 91 : -30723.52
Episode 92 : -30913.09
Episode 93 : -39773.74
Episode 94 : -25500.19
Episode 95 : -24489.75
