第 7 次循环
Episode 0 : -353109.52
Episode 1 : -351849.08
Episode 2 : -280013.92
Episode 3 : -213723.56
Episode 4 : -226259.31
Episode 5 : -209512.05
Episode 6 : -191970.64
Episode 7 : -180825.37
Episode 8 : -181682.20
Episode 9 : -180362.94
Episode 10 : -179122.38
Episode 11 : -167728.98
Episode 12 : -170513.11
Episode 13 : -180347.79
Episode 14 : -170186.95
Episode 15 : -161583.93
Episode 16 : -163829.04
Episode 17 : -156156.91
Episode 18 : -149324.36
Episode 19 : -130829.68
Episode 20 : -139940.57
Episode 21 : -141211.78
Episode 22 : -133444.32
Episode 23 : -132445.30
Episode 24 : -15272.42
Episode 25 : -127722.98
Episode 26 : -145425.82
Episode 27 : -117922.24
Episode 28 : -21547.67
Episode 29 : -119941.89
Episode 30 : -70260.54
Episode 31 : -106617.32
Episode 32 : -120473.24
Episode 33 : -107376.89
Episode 34 : -130978.97
Episode 35 : -114066.18
Episode 36 : -118718.18
Episode 37 : -109234.26
Episode 38 : -110837.50
Episode 39 : -113696.23
Episode 40 : -108719.90
Episode 41 : -100018.55
Episode 42 : -95580.59
Episode 43 : -27419.60
Episode 44 : -93112.07
Episode 45 : -95724.36
Episode 46 : -95688.18
Episode 47 : -92688.29
Episode 48 : -93516.76
Episode 49 : -84517.84
Episode 50 : -91372.60
Episode 51 : -82153.93
Episode 52 : -87522.35
Episode 53 : -88474.65
Episode 54 : -77826.25
Episode 55 : -70715.29
Episode 56 : -77023.91
Episode 57 : -71670.79
Episode 58 : -87155.43
Episode 59 : -76265.78
Episode 60 : -78539.27
Episode 61 : -82599.26
Episode 62 : -68018.66
Episode 63 : -71022.47
Episode 64 : -68483.18
Episode 65 : -80207.98
Episode 66 : -72639.82
Episode 67 : -70651.77
Episode 68 : -64522.23
Episode 69 : -55857.15
Episode 70 : -63200.75
Episode 71 : -5808.15
Episode 72 : -71904.41
Episode 73 : -56667.80
Episode 74 : -65671.66
Episode 75 : -70143.90
Episode 76 : -65511.43
Episode 77 : -55605.49
Episode 78 : -53001.59
Episode 79 : -54755.35
Episode 80 : -54211.67
Episode 81 : -65516.73
Episode 82 : -60031.08
Episode 83 : -59856.53
Episode 84 : -54508.50
Episode 85 : -50242.67
Episode 86 : -49393.02
Episode 87 : -65718.34
Episode 88 : -52010.34
Episode 89 : -55957.34
Episode 90 : -51776.01
Episode 91 : -50392.66
Episode 92 : -50144.99
Episode 93 : -56226.86
Episode 94 : -59453.79
Episode 95 : -51961.96
Episode 96 : -57151.75
Episode 97 : -48031.59
Episode 98 : -43805.50
Episode 99 : -61481.25
Episode 100 : -49721.50
Episode 101 : -71139.82
Episode 102 : -52254.43
Episode 103 : -10459.98
Episode 104 : -49566.08
Episode 105 : -19673.51
Episode 106 : -41939.59
Episode 107 : -57161.75
Episode 108 : -42588.78
Episode 109 : -41984.76
Episode 110 : -65237.45
Episode 111 : -44252.42
Episode 112 : -41302.23
Episode 113 : -59004.16
Episode 114 : -50050.51
Episode 115 : -47254.23
Episode 116 : -50003.11
Episode 117 : -39442.10
Episode 118 : -49119.68
Episode 119 : -42609.37
Episode 120 : -38240.82
Episode 121 : -35687.69
Episode 122 : -64336.71
Episode 123 : -45315.40
Episode 124 : -32602.91
Episode 125 : -48296.85
Episode 126 : -41840.55
Episode 127 : -40528.22
Episode 128 : -35923.21
Episode 129 : -62034.20
Episode 130 : -39868.97
Episode 131 : -45155.03
Episode 132 : -43405.82
Episode 133 : -32208.38
Episode 134 : -38081.29
Episode 135 : -39528.18
Episode 136 : -36373.88
Episode 137 : -34026.83
Episode 138 : -65522.26
Episode 139 : -36602.85
Episode 140 : -28841.46
Episode 141 : -38831.75
Episode 142 : -48121.74
Episode 143 : -37396.82
Episode 144 : -35459.68
Episode 145 : -39620.33
Episode 146 : -42283.00
Episode 147 : -35786.73
Episode 148 : -34551.36
Episode 149 : -29782.23
Episode 150 : -32921.38
Episode 151 : -36650.07
Episode 152 : -34251.87
Episode 153 : -33666.41
Episode 154 : -32498.52
Episode 155 : -31292.44
Episode 156 : -36094.66
Episode 157 : -33011.90
Episode 158 : -33676.48
Episode 159 : -34926.82
Episode 160 : -37299.07
Episode 161 : -38334.65
Episode 162 : -34711.84
Episode 163 : -29127.78
Episode 164 : -41753.96
Episode 165 : -28669.70
Episode 166 : -35153.02
Episode 167 : -31886.27
Episode 168 : -31460.50
Episode 169 : -30403.26
Episode 170 : -40378.07
Episode 171 : -37392.93
Episode 172 : -57215.66
Episode 173 : -35761.64
Episode 174 : -50006.45
Episode 175 : -35872.70
Episode 176 : -28810.69
Episode 177 : -31336.09
Episode 178 : -29685.07
Episode 179 : -30289.19
Episode 180 : -25783.63
Episode 181 : -33947.52
Episode 182 : -28775.07
Episode 183 : -31592.19
Episode 184 : -36284.75
Episode 185 : -38608.09
Episode 186 : -31505.27
Episode 187 : -37582.61
Episode 188 : -58011.95
Episode 189 : -32411.48
Episode 190 : -28516.47
Episode 191 : -26313.59
Episode 192 : -47498.27
Episode 193 : -32786.69
Episode 194 : -34530.21
Episode 195 : -30940.30
Episode 196 : -31017.69
Episode 197 : -31746.70
Episode 198 : -31089.20
Episode 199 : -32022.82

第一阶段时间为：0.0007622000002811546
