第 2 次循环
Episode 0 : -335727.06
Episode 1 : -322174.07
Episode 2 : -823339.58
Episode 3 : -76870.77
Episode 4 : -63988.22
Episode 5 : -65287.15
Episode 6 : -65201.09
Episode 7 : -56439.70
Episode 8 : -58709.53
Episode 9 : -58933.26
Episode 10 : -51072.79
Episode 11 : -49077.59
Episode 12 : -47842.51
Episode 13 : -53784.10
Episode 14 : -50991.01
Episode 15 : -47433.00
Episode 16 : -43924.51
Episode 17 : -2794.59
Episode 18 : -46175.17
Episode 19 : -44360.80
Episode 20 : -45854.25
Episode 21 : -39949.83
Episode 22 : -49886.45
Episode 23 : -40245.10
Episode 24 : -44561.78
Episode 25 : -36965.28
Episode 26 : -42573.96
Episode 27 : -40773.56
Episode 28 : -37000.48
Episode 29 : -40690.90
Episode 30 : -38541.41
Episode 31 : -40109.18
Episode 32 : -34431.41
Episode 33 : -36598.67
Episode 34 : -39210.98
Episode 35 : -33472.60
Episode 36 : -36704.07
Episode 37 : -55107.12
Episode 38 : -37681.79
Episode 39 : -37931.08
Episode 40 : -34796.96
Episode 41 : -33607.72
Episode 42 : -39053.05
Episode 43 : -36311.54
Episode 44 : -36853.38
Episode 45 : -31654.91
Episode 46 : -35725.04
Episode 47 : -33105.24
Episode 48 : -32600.98
Episode 49 : -31400.01
Episode 50 : -29707.40
Episode 51 : -20689.42
Episode 52 : -37938.00
Episode 53 : -36359.95
Episode 54 : -32190.82
Episode 55 : -27641.23
Episode 56 : -42297.93
Episode 57 : -34347.27
Episode 58 : -35045.92
Episode 59 : -30734.94
Episode 60 : -28042.51
Episode 61 : -28242.76
Episode 62 : -27243.33
Episode 63 : -29636.25
Episode 64 : -50858.25
Episode 65 : -31128.40
Episode 66 : -32958.24
Episode 67 : -22968.82
Episode 68 : -28297.74
Episode 69 : -24761.17
Episode 70 : -30275.67
Episode 71 : -31398.80
Episode 72 : -30723.39
Episode 73 : -29698.65
Episode 74 : -28905.03
Episode 75 : -24530.38
Episode 76 : -27083.61
Episode 77 : -29603.90
Episode 78 : -32897.21
Episode 79 : -26732.88
Episode 80 : -28014.61
Episode 81 : -29926.78
Episode 82 : -41426.81
Episode 83 : -8028.73
Episode 84 : -28952.00
Episode 85 : -30237.93
Episode 86 : -29734.00
Episode 87 : -30552.11
Episode 88 : -26428.12
Episode 89 : -28520.49
Episode 90 : -30100.87
Episode 91 : -30163.02
Episode 92 : -29194.34
Episode 93 : -24496.67
Episode 94 : -25425.55
Episode 95 : -26244.00
Episode 96 : -26320.33
Episode 97 : -28620.46
Episode 98 : -24173.26
Episode 99 : -40698.17
Episode 100 : -32345.96
Episode 101 : -29987.26
Episode 102 : -26490.21
Episode 103 : -25400.41
Episode 104 : -30379.46
Episode 105 : -27792.75
Episode 106 : -23660.42
Episode 107 : -28672.08
Episode 108 : -27365.85
Episode 109 : -29071.96
Episode 110 : -27511.80
Episode 111 : -26287.29
Episode 112 : -25273.09
Episode 113 : -22034.88
Episode 114 : -27306.96
Episode 115 : -24476.25
Episode 116 : -24029.07
Episode 117 : -22731.05
Episode 118 : -26089.79
Episode 119 : -27374.44
Episode 120 : -24774.56
Episode 121 : -24311.24
Episode 122 : -26703.25
Episode 123 : -28918.44
Episode 124 : -27072.71
Episode 125 : -21931.14
Episode 126 : -28284.57
Episode 127 : -17217.57
Episode 128 : -50076.33
Episode 129 : -29926.53
Episode 130 : -28287.60
Episode 131 : -27627.22
Episode 132 : -10361.77
Episode 133 : -24937.04
Episode 134 : -25807.56
Episode 135 : -25802.69
Episode 136 : -29170.04
Episode 137 : -29333.63
Episode 138 : -25408.92
Episode 139 : -23827.79
Episode 140 : -26314.16
Episode 141 : -22384.65
